yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed
1,10,0,0,6,0,1,0.5069281432753455,0.5096250193364606,0.044993625433903645
1,7,4,0,6,0,1,0.4573730614977739,0.4317299833886848,0.26453454815923616
1,10,8,0,6,1,1,0.3718224799548102,0.7625086009398203,0.277487548195117
0,3,11,0,2,0,1,0.3694898210586184,0.3328314719694106,0.16906145664679698
0,2,13,0,1,1,1,0.3818755042694828,0.7464353221291641,0.16934036497964258
1,9,1,0,6,1,1,0.5622279937765466,0.8287467494462231,0.09144700962623485
1,8,16,0,3,1,1,0.30555170600508,0.7308665843078939,0.025478625573867653
1,12,13,0,5,1,1,0.5727135646999744,0.7647161345408765,0.3978426806051648
0,10,12,0,3,0,2,0.7690679579113593,0.7737680137426429,0.08426457017455592
1,7,8,0,6,1,1,0.5597041139046633,0.44405656159338164,0.3819021433525749
0,9,14,0,5,1,2,0.4258212125033475,0.9040320209547799,0.08494617497898563
0,4,21,0,4,1,2,0.24702489054555507,0.5384664040376148,0.25434951870461253
0,4,14,0,3,0,2,0.8008612942708795,0.6144206873584126,0.050898018322678595
0,1,23,0,1,1,1,0.27169310782861933,0.5630531767712946,0.2541298723081139
0,8,10,0,1,1,2,0.6603829824200811,0.7220619792196709,0.15026517461193808
1,12,15,0,3,0,1,0.6199376910064031,0.523425403365707,0.15186430777670937
1,3,16,0,6,1,1,0.45139592460118355,0.6401388789771935,0.26472798033258965
1,7,3,0,1,1,1,0.44634898999475925,0.38889416175125135,0.13270274446973399
1,12,0,0,4,1,2,0.14350972575793403,0.8519275048189368,0.015377592937821705
1,2,7,0,0,1,1,0.560543204738423,0.7566347788052536,0.2832359029477113
0,2,16,0,6,1,1,0.6163577784483603,0.5708432120369027,0.04990786620632828
1,7,2,0,4,0,3,0.28727812552604043,0.536715994890221,0.25328844894149916
1,6,19,0,5,1,2,0.4669827897174331,0.7515968599982193,0.3091342260630366
0,3,14,0,4,1,1,0.5042777119188684,0.4907708448439838,0.1441595984224461
1,9,14,0,6,0,1,0.609550206248384,0.6514155489716972,0.3347469235063396
0,10,23,0,5,0,2,0.4977194740087567,0.8512973147438901,0.2490391352488578
1,6,21,0,6,1,1,0.1838294217094621,0.47071313802638115,0.10496576111096335
0,10,13,0,1,0,1,0.39494440703023204,0.6983429362014919,0.36154875077223114
1,10,22,0,0,1,1,0.5402402383888404,0.6881416627632123,0.05042521467975064
1,6,13,0,6,0,2,0.6590286018865437,0.6084496631310747,0.14401198960859116
0,1,23,0,6,0,2,0.3780574585748726,0.5300327985400807,0.16485700607372272
0,4,1,0,1,0,2,0.9182325429174507,0.8615994340106296,0.2641408122267054
0,10,12,0,2,1,2,0.13219478247435495,0.5119400216641549,0.3265599708657712
0,6,13,0,1,1,1,0.3884432491647196,0.2776324748933936,0.31889636601744376
0,6,23,0,5,1,1,0.48099853979970253,0.7508068789489766,0.2174710268659602
0,11,18,0,1,1,1,0.45833168814379277,0.39546158347394594,0.15580942000449774
0,12,6,0,1,0,1,0.2597306205649186,0.7607133538720299,0.0
0,5,2,0,0,1,1,0.5832256894248651,0.8847715015003603,0.02932470209442553
1,1,14,0,1,1,2,0.5684435995615124,0.7487263789444754,0.4062306426757511
1,8,22,0,6,1,1,0.506222438429393,0.8339360440901638,0.0
0,5,13,0,0,0,2,0.5608857355912411,1.0,0.09412284169900666
1,12,10,0,3,1,1,0.41538642635609924,0.8137457750336092,0.3301290004783217
1,12,14,0,2,0,1,0.185554032095745,0.6910063091887184,0.21575397926502168
1,12,12,0,0,1,1,0.3589937747114933,0.9424661913184971,0.3036348524191498
1,5,17,0,5,1,1,0.527228989442359,0.9657773940887913,0.2565073508767074
0,7,5,0,3,1,2,0.528324601699536,0.9684776860432847,0.36988666983377405
1,4,2,0,0,1,1,0.5049549582885774,0.5322796726819736,0.2262402480714491
0,6,18,0,0,1,1,0.6026443042025089,0.36599830218064044,0.2712639531369565
1,4,14,0,2,1,1,0.38508394003018853,0.5205015632488839,0.10149312003139359
1,3,22,0,6,1,1,0.5021247692897054,0.7629822995786169,0.26182971655845544
1,7,4,0,5,1,1,0.6071471348262866,0.6579353483164299,0.14163544893481195
0,8,9,0,4,1,1,0.48064111423725225,0.5873924971965618,0.1346645308500288
1,4,6,0,4,1,3,0.25757753531081296,0.7353624226706649,0.2995582855978431
0,2,16,0,0,0,1,0.31184669733406917,0.34346665905776247,0.3004024162201354
1,12,6,0,1,1,2,0.6569728693162094,0.6544646087752154,0.39666200557237863
0,10,21,0,5,1,1,0.7651162070660908,0.8430126872307779,0.38868799545263966
1,3,11,0,3,0,1,0.7232951250345758,0.7332082155566605,0.3023221528203806
0,1,16,0,1,1,1,0.5416902176290299,0.7606995935333543,0.0
0,8,12,0,1,0,1,0.2653166212282386,0.9354097067060325,0.41369651551867004
1,3,19,0,5,1,1,0.4957641372855773,0.6144678264288255,0.30240198095821663
0,12,3,0,6,1,1,0.797808957032504,0.5012279735516842,0.09640210783052561
1,10,9,0,0,1,1,0.6160808920003795,0.8567217792005861,0.27927251900681227
1,7,2,0,0,1,1,0.4570361014071506,0.8531729484169102,0.0631982784663567
1,10,8,0,0,1,1,0.6180328049772662,0.734939959573221,0.26578095660270046
1,5,12,0,0,1,3,0.2525573511027681,0.5962884888730028,0.029064828617940158
1,10,17,1,4,1,1,0.3630313862387588,0.6274950152439135,0.09121998143876767
1,5,14,0,0,0,1,0.28821947947405885,0.3809012456132094,0.2769504982433364
1,7,3,0,4,1,1,0.5874060964110115,0.841949428797651,0.32135481567692914
1,9,14,0,4,0,1,0.6344921684986112,0.835139927729019,0.22991162607560525
1,12,21,0,6,1,1,0.46736702527708657,0.37416610401313355,0.15508766988369163
1,5,1,0,0,1,1,0.3288992157449139,0.7946209533795502,0.0
1,1,14,0,2,1,1,0.4931843595724325,0.7051921046493156,0.16452591719857843
0,10,7,0,3,0,1,0.4032932319953962,0.4300595438695866,0.2553642925453472
0,10,7,1,1,0,1,0.34367962567317306,0.39455542073112443,0.15134449084241053
1,1,16,0,4,1,1,0.5622624775929557,0.6992868338931681,0.18733541583226768
1,2,11,0,5,0,1,0.3510311261160064,0.5504998507016778,0.16738912285428076
1,6,18,0,5,0,1,0.19537693932155498,0.9783512691434191,0.1507399940848997
1,9,9,0,3,0,1,0.23816969949289873,0.811013489612091,0.19938046353765204
1,8,8,0,5,1,2,0.18826955157856057,0.7186183776703686,0.15673608879536818
1,5,4,0,2,1,1,0.544647103040657,0.728146384847855,0.3666699801945144
1,1,5,0,5,1,1,0.5259486562117253,0.8839928236718955,0.0
1,7,19,0,1,0,1,0.5163429279278055,0.790547434372089,0.12331909957399712
0,5,1,0,1,1,3,0.6101584957588855,0.7236486954531298,0.08363026100447099
1,6,23,0,4,1,1,0.7265061424448256,0.43810721332248165,0.2169036471973928
0,7,12,0,0,1,1,0.38294262249994526,1.0,0.19953551704460246
1,3,5,0,6,0,1,0.5752568948140602,0.41439197309533166,0.3885570811392229
1,12,4,0,2,0,1,0.1928225332496713,0.5669300209975742,0.42880077047319665
0,10,0,0,4,0,1,0.7624661694913173,0.3079823876168839,0.0955183996461264
1,3,20,0,2,1,1,0.2572872935798814,0.7311790787686361,0.1901587843769773
0,5,21,0,0,1,2,0.3602567023665696,0.6563825509944107,0.2141135335428358
1,6,20,0,5,0,1,0.3818945428231566,0.77487349566985,0.09249288997635736
1,9,5,0,5,0,2,0.20309434531688214,0.29171119577038107,0.2669740082263401
0,12,5,0,6,0,3,0.503259795254921,0.841941545139359,0.16079622006689084
1,5,22,0,0,1,1,0.5381756676028473,0.47145046138182223,0.05948291465166114
0,1,15,0,4,0,1,0.4605144066257801,0.598481291016096,0.15589515606078547
1,4,3,0,6,1,1,0.20040305863368524,0.8069567296882952,0.06804187103610973
0,5,10,0,0,1,1,0.8789003287447938,0.6776349774196135,0.3169212163668721
0,12,23,0,3,1,1,0.602744920266911,0.691270461780036,0.42273480022177345
1,10,22,0,1,0,2,1.0,0.7814142765148232,0.22004886446776722
1,10,8,0,6,0,2,0.34195845600684194,0.7099553464149875,0.20371123154494095
0,5,22,0,6,1,1,0.681433254893458,0.5614189483676052,0.20874651052828974
1,7,2,0,4,1,1,0.647041125569471,0.5951119781168573,0.33473238763330626
1,4,18,0,2,1,2,0.4410351536374922,0.668106557717644,0.3320977877107514
1,1,7,0,3,1,3,0.7686936568155476,0.4544493508819514,0.17594852229501234
0,5,4,0,4,0,2,0.41892298983972887,0.8193886247849608,0.2209995157572044
0,7,3,0,0,1,1,0.42749531650494943,0.6829187943761743,0.2699425169377161
0,10,23,1,0,1,1,0.0,0.6416554123659076,0.050912662827648336
0,10,5,0,0,0,1,0.5757480239326633,0.8572970026584171,0.3384483752417291
0,6,1,0,0,1,1,0.24175212115003264,0.6040553341504165,0.40233733641456726
0,5,19,0,2,1,1,0.3909424310885216,0.5920343866936709,0.3326279003071602
0,4,10,0,3,1,1,0.29938229523462495,0.5337294923824777,0.03771136245066095
0,2,3,0,5,1,2,0.4264670437312188,0.6934167005084195,0.0
0,4,14,0,1,1,1,0.5824590238517613,0.6867380676209656,0.2768024108184504
1,10,5,0,2,1,1,0.49913254458698625,0.49868273916075984,0.09709585536181649
0,10,21,0,2,0,1,0.6336329428001036,0.5929463698854105,0.22522556648073988
1,3,16,0,5,1,1,0.7406918827331144,0.4999718831909402,0.3779080516054121
1,10,23,0,5,1,1,0.4259732533223163,0.4912386855730721,0.10972555986380242
1,1,5,0,1,0,1,0.40483611654185847,0.293479937783021,0.14390748334266826
0,8,18,0,1,1,2,0.6814034906244119,0.58267936247767,0.22395195802425844
0,5,1,0,5,1,1,0.6966769718939596,0.2988211164393689,0.03135998037563659
0,4,14,0,0,1,1,0.6395924734165455,0.5379378858366821,0.09738130606179739
0,8,10,0,2,1,1,0.3136393106597406,0.5090217630434747,0.19313867899714107
1,7,7,0,4,1,3,0.5783719884611943,0.8301707782537318,0.1533398889794903
0,2,18,0,1,0,2,0.5180664033278684,0.43141763563788216,0.2645303499717172
0,1,12,0,1,0,2,0.6996580588710255,0.4803732764906712,0.5284881845646408
0,12,11,0,5,0,1,0.386677140888046,0.5536214505386516,0.20222621341120206
0,11,4,0,3,1,1,0.17607115512296073,0.515301820986794,0.08712237443572346
0,4,5,0,4,1,1,0.6298964894467022,0.8913989402603312,0.36360545547865775
1,8,21,0,4,0,1,0.00435767581374874,0.40756522505196596,0.0
0,12,3,0,1,1,2,0.3561297847251998,0.5540303923718163,0.020178263196144408
1,2,18,0,0,1,1,0.2999646094820816,0.6912941328232277,0.11729251559784569
0,3,19,0,3,1,2,0.29866694305143887,0.7972353955559773,0.15548918025788372
1,12,0,0,4,1,2,0.35275657368057134,0.5538688991144394,0.11436010621776359
0,1,19,0,1,0,1,0.7313999011249599,0.2571702017625378,0.18624238133368926
0,1,16,0,4,1,2,0.6549901371759658,0.5982692568412438,0.22370959348697303
1,3,11,0,6,1,1,0.4485148846976343,0.8880754689617594,0.3208743601870861
1,11,14,0,3,1,1,0.7152733071204801,0.6816712090940746,0.20125360057166833
1,5,0,0,3,1,1,0.2924353486082073,0.6728408983584891,0.12134897391782114
0,12,13,0,6,1,1,0.2662503675042012,0.422140954683035,0.3142295548037868
1,3,5,0,2,1,1,0.6632779914503996,0.40233601291763177,0.09005810809812949
0,1,4,1,6,0,1,0.6086010203686902,0.6307096116810763,0.0
0,1,10,0,5,1,1,0.4083606330595705,0.3520377906172865,0.33763454118563574
1,8,3,0,5,1,1,0.2783472229004035,0.7779769233073079,0.32979219327321857
1,10,12,0,1,1,1,0.7780674763435478,0.46388551910010145,0.09316763990635704
0,11,10,1,3,0,1,0.16577089305939424,0.6224717143239084,0.14127176130687108
0,12,2,0,2,0,1,0.38175659145666546,0.2634081406872876,0.0779204808261105
1,12,0,0,2,0,1,0.541000977969235,0.5512527102714065,0.23005688774078914
1,2,5,0,4,1,2,0.8440050337859656,0.3984409608242904,0.4019969125117727
1,3,17,0,4,1,1,0.5707554593084235,0.17925417310480185,0.27608832620624313
0,2,23,0,6,0,2,0.5894727694240927,0.7317663437878371,0.31680839581854175
0,3,9,0,2,1,2,0.3873488516183202,0.9438574769515857,0.2903833577731324
0,7,4,0,6,1,1,0.606451515607703,0.8451379915744508,0.19008302964450818
0,1,22,0,6,1,2,0.5172651227815777,0.7587473110892533,0.3226337231026791
0,10,9,0,4,1,1,0.19111859777613122,0.5473325111902034,0.2812448156669285
0,8,11,0,3,1,1,0.6496716282140075,0.782709107470535,0.3661997241164204
1,10,1,0,6,1,2,0.6838423556569373,0.8633466339220754,0.13387628380434868
0,10,12,0,0,0,1,0.6516800261702549,0.6536258522985452,0.0
0,10,7,0,3,1,2,0.5034046645171641,0.39873042788899415,0.31797385438197534
0,2,1,0,2,1,2,0.3128694565737137,0.5308827095430197,0.23288848940520232
1,3,19,0,2,1,2,0.05233970587248449,0.9557297903603538,0.15387925872507852
0,9,0,0,6,1,2,0.527228801506046,0.612808459445496,0.16071725635636486
0,7,4,0,3,1,1,0.7053217348622911,0.0,0.502638515349109
1,4,8,0,4,0,1,0.688683039246455,0.34382967930686525,0.1115313657271953
0,10,16,0,4,1,1,0.6541269898028094,0.5453400215383797,0.08570428470741022
0,5,8,0,5,0,1,0.4826973902380413,0.8270704307699591,0.20053129892569369
0,2,10,0,2,0,1,0.7063850517711959,0.5745353892751397,0.334519130145768
0,11,14,1,1,1,2,0.6749401846304196,0.8306601636285542,0.4688378261191475
0,8,23,0,5,1,2,0.4156064892591562,0.5257164238438082,0.270519786183286
1,4,5,0,4,0,1,0.6272702581464608,0.24825820903793644,0.034675510187146624
1,9,22,0,3,1,1,0.3937849542333294,0.5323920266437755,0.4312135916720234
1,5,2,0,4,1,1,0.6009721398426743,0.6937790213130349,0.18771580121135487
0,9,16,0,3,0,1,0.24683430634409015,0.6777668768350203,0.08761204293084875
0,4,4,0,5,1,2,0.2616428031979933,0.38508110960871667,0.058044486385180866
0,10,11,0,2,1,1,0.7007514128602995,0.5594726144663518,0.2924142529919507
1,5,17,0,4,1,1,0.6775201089918231,1.0,0.21931604800240692
0,9,13,0,6,0,1,0.6189929490540012,0.3892944893914557,0.232314206796859
0,8,20,0,3,1,1,0.5139261033945022,0.7547020942592553,0.34748869195332976
1,3,23,0,2,1,1,0.03653263914001259,0.22271754479506095,0.09196183023045855
0,1,10,0,1,1,1,0.4825693481856828,0.7938800527830057,0.35723327579523556
1,3,8,0,3,0,1,0.5844429174326475,0.4550726499446952,0.12658378077064375
1,4,1,0,5,1,1,0.39402100836831605,0.704803660337618,0.45484276306410365
1,2,11,0,1,0,1,0.3597920502415526,0.3780550193667326,0.26334747437851025
0,1,2,0,1,1,2,0.775119155818551,0.6833430218787044,0.07751541423213114
0,7,2,0,0,0,1,0.48537815408523166,0.4519230886252638,0.0
0,8,0,0,4,1,1,0.5845607622511043,0.48927471211713824,0.2890616417282571
0,7,7,0,3,1,1,0.6460509200084612,0.712501126275802,0.1443203058143929
0,5,21,0,1,1,3,0.3041543292941795,0.5441946408595132,0.17106566368057552
0,12,7,0,0,0,1,0.5341904403361589,0.7006157690888625,0.28383420120038194
0,1,10,0,5,0,2,0.7510927937067572,0.5904098554656686,0.31371186476307483
1,7,8,0,2,1,1,0.8472897282854245,0.6402503841272102,0.33980660909083016
0,7,4,0,6,1,1,0.5046771661660073,0.7130992984657384,0.0463672521021371
1,9,13,0,6,1,1,0.451169681868106,0.5596998370406514,0.3645418958962759
0,3,2,0,3,1,1,0.5487893995050426,0.43506111947215387,0.11925706752564208
0,9,20,1,1,1,3,0.5439009731900138,0.5245299222683895,0.0
0,1,4,0,6,1,1,0.7640159227476385,0.8578068430512313,0.04592694491220528
1,1,4,0,4,1,1,0.3051258495101893,0.649642093237344,0.21677084591256351
1,4,18,0,6,1,1,0.44309589250733994,0.46422272098738193,0.07034924771059159
1,9,13,0,6,1,1,0.28187476763054975,0.704701860946324,0.1793262258228946
1,6,3,0,6,1,1,0.3021021028757966,0.7175808874952632,0.23147949294609643
0,11,12,0,0,0,1,0.5694988001402821,0.727552174810419,0.16790687463030401
1,3,9,0,1,1,2,0.6529302531709557,0.4385748705957006,0.12961818361712057
0,1,17,0,4,1,1,0.3719428227025754,0.4955752581102728,0.037087164085393004
0,4,7,0,1,1,1,0.6456587462238625,0.49664829099739916,0.19278221681928304
1,12,7,0,3,0,2,0.7110284431029646,0.557649097573811,0.0
1,9,6,0,3,1,1,0.8695266512385624,0.7312024283669802,0.10617244908202111
1,3,7,0,3,1,3,0.5104173511038813,0.6843717246325896,0.0765922863377655
1,12,13,0,5,1,1,0.3737965925038548,0.6996193846858014,0.16081218757782623
1,9,18,0,6,0,2,0.3039550616099107,0.8884595278596268,0.16399878989757827
1,7,5,0,5,1,1,0.28483014381087646,0.7601364526969352,0.30753892527666205
1,12,0,0,0,1,2,0.7376400926966937,0.5998710754235314,0.3838205783449978
1,4,22,0,3,1,3,0.2052462858586011,0.39882206883852445,0.053348287498042185
0,3,14,0,4,1,1,0.7314720934763761,0.4893714036294408,0.4339012051893114
1,10,0,0,1,1,3,0.32976353229474825,0.576738124123294,0.09475840453524001
1,5,16,0,6,1,1,0.36504652070558163,0.787192719408448,0.21120457236420082
0,5,0,0,2,0,1,0.46780423785069986,0.6219556938921711,0.252596701168246
1,3,14,0,4,1,1,0.3614941776574107,0.5006290627144947,0.48916841902250696
0,12,22,0,6,1,1,0.6764455751199403,0.4858319365746335,0.12375466115359028
0,9,1,0,5,0,1,0.8461576463071034,0.6138051271023112,0.0
1,4,13,0,5,0,1,0.37039458217839,0.7989339921004817,0.37243097135006553
0,11,20,0,4,1,1,0.4137571266547566,0.934183930057966,0.08814249463690843
0,5,7,0,5,1,2,0.4655387472516975,0.5875299379306558,0.1458607767095329
0,4,7,0,3,1,2,0.6011709601757288,0.6185965449639031,0.05335185815797602
0,5,18,0,0,1,1,0.4674328309931083,0.3930232674728823,0.1462137047217347
1,7,6,0,1,1,1,0.7641120746688772,1.0,0.08728391367644961
0,9,18,0,0,1,1,0.7177766223269878,0.3569335943167518,0.27285365275262574
1,7,5,0,6,0,1,0.2687191357258195,0.8532774547934713,0.199981672753417
0,5,5,0,1,1,1,0.5973027776793303,0.5567446346119653,0.10677716228618345
0,10,2,0,1,1,1,0.7897377949417366,0.5115931612043942,0.3119328115601517
0,10,6,0,0,0,1,0.4017140686365182,0.4130760344706833,0.2212939670693111
0,7,18,0,4,0,3,0.44032466608904436,1.0,0.0
1,10,7,0,1,1,1,0.39531041223874547,0.6699611815293045,0.3026143199706882
1,5,9,0,0,1,1,0.3993466547161368,0.6313344706031514,0.21271438547276122
0,3,19,0,1,1,1,0.1757166090925879,0.7983059663909532,0.36024013672201666
0,7,14,0,2,1,1,0.24121199356953554,0.5016637896453746,0.2052576925693729
1,11,14,0,4,1,1,0.5119052072004912,0.6275849792402837,0.09323970339480671
0,11,0,0,3,1,1,0.7884397235522322,0.6380977898702614,0.16510406853396065
0,2,19,0,1,1,1,0.3788807894365599,0.5284206482459227,0.28844928100049394
0,12,6,0,2,1,1,0.3732203152609515,0.8586748149567708,0.09580545825313781
1,9,3,0,3,0,3,0.82462546596655,0.585043880076849,0.1362315967318578
1,10,5,0,3,1,2,0.2835854102283101,0.32758333006963536,0.16297617475739856
1,10,0,0,6,1,1,0.177104628558289,0.5690610030893897,0.04948322079757564
0,12,4,0,1,1,1,0.33745144964349966,0.6753028391896579,0.0975688256624463
0,1,22,0,0,1,1,0.36936395996049665,0.45484733805360456,0.21120743621206528
1,6,0,0,1,1,1,0.16050438036691472,0.47006920112899075,0.3372090088080251
1,7,3,0,2,0,1,0.472331954103223,0.5218391738228536,0.22889744090711264
1,8,21,0,3,1,1,0.6796163187644523,0.8628416326523114,0.18448692935261968
1,10,1,0,1,1,1,0.2493687050925675,0.5332415229324243,0.08839974981525563
0,9,9,0,0,0,1,0.5138508905693203,0.9029481486494165,0.32407978140018634
1,2,4,0,6,0,1,0.5732270063847378,0.5085865534150028,0.24313276825752034
0,11,9,0,1,1,3,0.48093101580162134,0.6899337627799544,0.10363612549832385
1,10,0,0,4,0,2,0.5327434132470126,0.5411353143148702,0.3000384641485584
0,2,21,0,6,1,2,0.5349837407238175,0.7727139803176559,0.2585563919157428
1,5,5,0,0,0,1,0.34049142540623395,0.4114803923267522,0.09057011741409439
1,5,12,1,2,1,2,0.7855484158606957,0.7705485955307769,0.17769496726278863
1,6,14,0,3,0,1,0.7372503846542072,0.6491976439104691,0.12981167809878333
1,3,3,0,1,1,2,0.7261118917052546,0.5037553243913814,0.5122852398450443
0,8,12,0,0,1,1,0.6921766372257241,0.5951597559410574,0.25515139685046667
1,1,23,0,6,1,2,0.19371523073969027,0.9231552186537981,0.21294611878531955
0,6,19,0,4,0,1,0.675306147928425,0.6538231568570124,0.2479233126248006
0,4,23,0,0,1,2,0.6232272363963721,0.4916516399024913,0.35882467258558504
0,1,14,0,5,1,3,0.20112014091948216,0.39480756425114194,0.17989686037742764
0,7,7,0,4,1,1,0.45560486401755906,0.7247364020116086,0.11792796796835082
1,9,4,0,6,0,1,0.5502854414110673,0.6650132304116604,0.2933874094120733
0,4,14,0,2,0,3,0.8174616133661309,0.761319066777541,0.16869484811429367
0,4,3,0,3,1,1,0.6365371834749114,0.3451220630128277,0.0592063671977921
0,6,11,0,6,1,2,0.3305097454115037,0.4010648247490034,0.035375579172518795
1,12,12,0,2,1,1,0.8234445939927136,0.848496053005756,0.3771920958917504
1,3,1,0,1,1,1,0.505417229719078,0.6911545283351495,0.20620303271373308
1,12,18,0,0,1,1,0.44772339144347983,0.7301377771221587,0.11796979778976929
1,6,18,0,5,0,1,0.4339985572963126,0.4414977900447706,0.16142901972699122
0,7,3,0,4,1,2,0.18436166915325475,0.437967142012436,0.2888805776674959
0,11,3,0,4,0,1,0.47585037853531537,0.8184722078423057,0.1542023084338285
1,10,10,0,0,1,1,0.5927809999473557,0.8275628680323572,0.012775265340984332
0,10,4,0,5,1,1,0.42277924967909153,0.41725954136392596,0.22996105063659175
0,3,19,0,0,1,1,0.5779478666102851,0.3804001019339994,0.3379271545038441
0,7,10,0,1,0,2,0.33054337656353033,0.6062780155839274,0.32974461187487136
1,3,9,0,2,0,3,0.4698506358725465,0.47301067493559745,0.12166905382714645
1,2,7,0,6,0,1,0.5579389459325366,0.4689922502272889,0.3453684791959156
0,12,5,0,4,0,2,0.5335075312618109,0.3858006419706997,0.21614995476001786
1,10,5,0,1,0,2,0.18784503794352198,0.5368539747856943,0.34193985604909705
1,4,7,0,2,1,1,0.4124538853163485,0.4044537743143989,0.26028260868621955
1,12,22,0,1,0,3,0.8199929238228463,0.4158933249539388,0.003945100783144667
1,8,14,0,5,0,1,0.40216366242392154,0.6847975288476421,0.40379404717822615
1,9,13,0,4,1,1,0.500031007802318,0.6165794532222487,0.19643285449852113
0,7,10,0,6,1,2,0.4802818175998451,0.7207764029725174,0.26066269456345204
1,1,11,0,0,1,1,0.7989613335888253,0.30908109235773773,0.02566687924718511
0,3,12,0,0,0,2,0.7454554490157512,0.6291351038187748,0.25191936582990054
0,12,7,0,2,1,2,0.6524822055356782,1.0,0.32503003722946844
1,9,17,0,6,0,1,0.3095834035225369,0.5554063707844684,0.42686513864748044
0,12,0,0,3,0,2,0.5661500631927333,0.7863475283854257,0.3614228372950056
0,1,14,0,5,1,1,0.6063478275640117,0.78466090533213,0.2579015832679074
0,9,7,0,2,0,1,0.3624665309929824,0.7941514632770295,0.0011581278951789953
1,8,10,0,3,1,1,0.3293637710380937,0.659382851032493,0.20627988972987715
1,1,11,0,1,1,3,0.8252980792837463,0.7364437141200616,0.11760985066674719
0,6,11,0,5,1,1,0.4390656493620974,0.7620894211207049,0.21884485322103
1,5,3,0,1,1,1,0.8079608405794036,0.7498253362025057,0.041292025903319624
1,6,15,0,6,0,2,0.6889836745020044,0.411645536609053,0.164385738768764
1,10,3,0,4,1,2,0.5755263395836672,0.2978234345050707,0.12682530961964672
1,12,4,0,5,1,2,0.584124866550606,0.3274962241699838,0.12303480902127056
0,5,23,0,3,1,1,0.22732780976212474,0.5751069169030525,0.12424966828615701
0,6,4,0,4,1,1,0.5368029179988387,0.741815025721568,0.17347710925083235
1,5,7,0,0,0,1,0.7698431228770793,0.4141549548963561,0.22511073854473151
1,11,9,0,3,1,2,0.6281832604092917,0.8054903066576028,0.0
0,12,16,0,2,0,1,0.5267056422493133,0.53032497333215,0.0
0,5,8,0,0,1,1,0.8266311546713112,0.5321616582745679,0.14866203036479492
1,4,21,0,0,1,3,0.46135644459284836,0.46591885542998446,0.1659024961725545
0,3,18,0,2,0,1,0.3776879307412295,0.2635973199148226,0.2132335157714664
1,3,13,0,5,1,3,0.5266084455061002,0.6714703761510566,0.10107400408725062
1,4,7,0,0,0,2,0.64457515188971,0.9576535370467356,0.1912555803066825
0,9,8,0,6,1,2,0.16621540022714643,0.6151389832771091,0.2055764841281327
0,2,21,0,3,1,1,0.5518403694778429,0.2701867838601102,0.10023160083594604
1,9,10,0,4,1,1,0.6530240614873758,0.7777802485612277,0.3140840231866933
1,1,22,0,0,1,2,0.44506602292702385,0.31375683278755057,0.211750152104129
0,1,0,0,3,1,2,0.7101400101809998,0.39397003381639806,0.25701295174586464
1,5,13,0,1,0,2,0.6204515851325888,0.5812462953685625,0.19852020880798926
0,6,4,0,3,0,1,0.9093235958317849,0.6509290036171564,0.4474614545774641
1,6,20,0,4,0,2,0.35245398586461724,0.432627461033526,0.2630609600624579
0,3,13,0,3,0,2,0.6569454351171217,0.5737262986276216,0.13039639245967583
